name,sport,team1
Greg Olsen,nfl,Carolina Panthers
Jonathan Stewart,nfl,Carolina Panthers
Steve Wilks,nfl,Carolina Panthers
#Bears,nfl,Chicago Bears
#CHIvsMIN,nfl,Chicago Bears
Bears,nfl,Chicago Bears
Bryce Callahan,nfl,Chicago Bears
Eddie Goldman,nfl,Chicago Bears
John Fox,nfl,Chicago Bears
Marcus Cooper,nfl,Chicago Bears
Mike Nugent,nfl,Chicago Bears
Tarik Cohen,nfl,Chicago Bears
The Bears,nfl,Chicago Bears
Trubisky,nfl,Chicago Bears
Mike Brown,nfl,Cincinnati Bengals
#Browns,nfl,Cleveland Browns
#CLEvsPIT,nfl,Cleveland Browns
Browns,nfl,Cleveland Browns
Duke Johnson,nfl,Cleveland Browns
Eliot Wolf,nfl,Cleveland Browns
Jabrill Peppers,nfl,Cleveland Browns
Josh Gordon,nfl,Cleveland Browns
Kizer,nfl,Cleveland Browns
Rashard Higgins,nfl,Cleveland Browns
The Browns,nfl,Cleveland Browns
Zane Gonzalez,nfl,Cleveland Browns
#DALvsPHI,nfl,Dallas Cowboys
Brice Butler,nfl,Dallas Cowboys
Byron Bell,nfl,Dallas Cowboys
Dan Bailey,nfl,Dallas Cowboys
Jason Witten,nfl,Dallas Cowboys
Jonathan Cooper,nfl,Dallas Cowboys
Sean Lee,nfl,Dallas Cowboys
Terrance Williams,nfl,Dallas Cowboys
Broncos,nfl,Denver Broncos
C.J. Anderson,nfl,Denver Broncos
De'Angelo Henderson,nfl,Denver Broncos
Shelby Harris,nfl,Denver Broncos
#Lions,nfl,Detroit Lions
#OnePride,nfl,Detroit Lions
Don Carey,nfl,Detroit Lions
Golden Tate,nfl,Detroit Lions
Golladay,nfl,Detroit Lions
Jarrad Davis,nfl,Detroit Lions
Jim Caldwell,nfl,Detroit Lions
Kenny Golladay,nfl,Detroit Lions
Teez Tabor,nfl,Detroit Lions
#ThankYouFans,nfl,Gameday
#GBvsDET,nfl,Green Bay Packers
Brett Hundley,nfl,Green Bay Packers
Dom Capers,nfl,Green Bay Packers
Hundley,nfl,Green Bay Packers
Janis,nfl,Green Bay Packers
Joe Callahan,nfl,Green Bay Packers
Mike Daniels,nfl,Green Bay Packers
Mike Pettine,nfl,Green Bay Packers
